ball,score,commentary,second_commentary
7.5,4,"Green to Rahul, FOUR runs FOUR runs overpitched once again, but the line is outside off. Rahul latches onto the width and carts it over extra-cover for back-to-back fours See all photos","Green to Rahul, FOUR, 124.3kph, oh better. Green tries an off-cutter of sorts, which Rahul picks up early again, and carves over the cover infield, into a large empty gap thereafter"
7.4,6,"Green to Rahul,  SIX runs SIX runs overpitched and on the pads, Green cops punishment. Rahul picks it up and deposits it over square leg boundary with another whirl of those wrists","Green to Rahul, SIX, strays onto the pads, and Rahul crouches under it, has a whippy swipe, and sends it 92 meters over backward square leg"
7.3,•,"Green to Rahul, no run no run back of a length and just a shade outside off, late-cut to point on the back foot","Green to Rahul, no run, 123.1kph, tight just outside off, and KL gets cramped as he chops, and finds backward point"
7.2,1,"Green to Suryakumar,  1 run 1 run Green bangs it on a heavy length on top of off, Surya punches a single down to long-on","Green to Suryakumar Yadav, 1 run, 135kph, an on-punch off the back foot, to mid-on"
7.1,1,"Green to Rahul,  1 run 1 run short at the body, rides the bounce and glances a single to fine leg","Green to Rahul, 1 run, a hopping glance, off the hips, fine leg"
6.6,1,"Zampa to Rahul,  1 run 1 run looped up outside off, belted past Zampa but long-off has it covered","Zampa to Rahul, 1 run, hammered straight down the pitch, past the bowler, but long-off is pretty straight and has it covered"
6.5,1,"Zampa to Suryakumar,  1 run 1 run eased down to long-off","Zampa to Suryakumar Yadav, 1 run, a much more quieter drive this time around, down to long-off"
6.4,4,"Zampa to Suryakumar, FOUR runs FOUR runs shovelled away between wide long-on and deep midwicket. Not sure if this was the wrong'un, sliding into middle and leg, whipped away","Zampa to Suryakumar Yadav, FOUR, all swag, no sweat. Surya, as if it is all very normal, whips this with a full flourish from middle-stump, against the spin, through mid-wicket"
6.3,1,"Zampa to Rahul,  1 run 1 run Rahul collapses his back leg and drives a full ball on middle through extra-cover","Zampa to Rahul, 1 run, flight, full, drifting in on middle. Rahul clears out his front leg and pushes it quietly through the covers after leaning in"
6.3,1,"Zampa to Rahul,  1 run 1 run Rahul collapses his back leg and drives a full ball on middle through extra-cover","Zampa to Rahul, wide, the slider, quick, flat, going down leg. Rahul swipes, but the ball skids under"
6.3,1w,"Zampa to Rahul, 1 wide 1 wide fired down the leg side for a wide","Zampa to Rahul, 1 run, flight, full, drifting in on middle. Rahul clears out his front leg and pushes it quietly through the covers after leaning in"
