ball,score,commentary,second_commentary
10.2,1,"zampa to suryakumar ,  1 run 1 run 88kph , flatter in middle , he heaves a slog sweep along the deck to deep midwicket","zampa to suryakumar yadav , 1 run , a massive slog-sweep , a bigger miscue as he drags this through square-leg off the inside-half"
10.1,1,"zampa to rahul ,  1 run 1 run drifting into leg , he advances and digs out a drive to long-on","zampa to rahul , 1 run , dances out , yorks himself in the process , and digs it to long-on"
9.6,1,"ellis to rahul ,  1 run 1 run on-pace short ball leg-stump , punched to wide long-on off the back foot","nathan ellis to rahul , 1 run , 137kph , a neat over this -- tight , good length , angling in , punched through mid-wicket"
9.5,1,"ellis to suryakumar ,  1 run 1 run suspect another slower ball on the hips , hauled away to long-leg","nathan ellis to suryakumar yadav , 1 run , another slower one , off a good  sky waits , clears out his front leg again , and heaves it to fine-leg"
9.4,•,"ellis to suryakumar , no run no run slower bouncer outside-off , surya is early into the ramp and is beaten by the lack of pace","nathan ellis to suryakumar yadav , no run , a neat foxing slower bouncer  113kph , and yadav jumps , tries upper-cutting , and is beaten"
9.3,2,"ellis to suryakumar ,  2 runs 2 runs short of a length and outside-off , slashed away to sweeper cover  they take on hazlewood  arm for the second","nathan ellis to suryakumar yadav , 2 runs , 135 1kph , shuffles across , stands with a very open stance , and cuts it behind point to pinch another two before sweeper cleans up"
9.3,2,"ellis to suryakumar ,  2 runs 2 runs short of a length and outside-off , slashed away to sweeper cover  they take on hazlewood  arm for the second","nathan ellis to suryakumar yadav , wide , 135kph , loses his wrist , and loses his line with an attempted yorker that ends up well down leg"
9.3,1w,"ellis to suryakumar , 1 wide 1 wide low full-toss , sliding down the leg-side for wide","nathan ellis to suryakumar yadav , 2 runs , 135 1kph , shuffles across , stands with a very open stance , and cuts it behind point to pinch another two before sweeper cleans up"
9.3,1w,"ellis to suryakumar , 1 wide 1 wide low full-toss , sliding down the leg-side for wide","nathan ellis to suryakumar yadav , wide , 135kph , loses his wrist , and loses his line with an attempted yorker that ends up well down leg"
9.2,1,"ellis to rahul ,  1 run 1 run good and ducks back in to cramp rahul who hastily stabs a single to the covers","nathan ellis to rahul , 1 run , 132 5kph , jags back in sharply , and rahul awkwardly jabs it into the covers"
