ball,score,commentary,second_commentary
11.3,4,"Kane Richardson to Tilak Varma, FOUR runsoverpitched, wider outside off. TIlak leans forward and crunches a square drive beautifully to beat deep extra cover!","K Richardson to Tilak Varma, FOUR, slapped, width on offer from Richardson - Varma leans across, opens the face of the bat and then slices the drive square past point, races away to the ropes in a hurry"
11.2,•,"Kane Richardson to Tilak Varma, no runlength ball on middle and off. Defended","K Richardson to Tilak Varma, no run, short of a good length and just outside off, defended back at the bowler"
11.1,4,"Kane Richardson to Tilak Varma, FOUR runsgood length ball angling into him. Makes a solid base by planting his feet wide and then pulls to fine leg!","K Richardson to Tilak Varma, FOUR, that's easy pickings for Tilak Varma - back of a length and well down leg, the left-hander swivels across and pulls it over long leg, who was inside the ring - almost went all the way, bouncing in front of the ropes"
10.6,4,"Hardie to Gaikwad, FOUR runsshort ball around off. Pulled, and this time with much more power! Finds the gap at deep backward square leg","Hardie to Gaikwad, FOUR, beautifully played, another slower short ball from Hardie, but this one sat up to be smacked - Gaikwad swivelled across, rode the bounce and then pulled it over square leg for a boundary"
10.5,2,"Hardie to Gaikwad,  2 runsslower ball pulled to deep backward square leg this time","Hardie to Gaikwad, 2 runs, the slower short ball from Hardie, Gaikwad had to wait on it as he swivelled into the pull, picks the gap behind square on the on-side and he's back for the second"
10.4,1,"Hardie to Tilak Varma,  1 run","Hardie to Tilak Varma, 1 run, back of a length and well wide of off, steered square on the off-side for a single"
10.3,•,"Hardie to Tilak Varma, no rungood length ball around off, from around the stumps. Fended","Hardie to Tilak Varma, no run, short of a good length and angling across the left-hander, defended to the off-side"
10.2,W,"Hardie to Suryakumar, OUTHardie with the big one! Short of length ball around off stump. Suryakumar attempts to get slightly low and paddle it over his shoulder in an unconventional way. Gets the outside edge and Wade collects to his right.Suryakumar Yadav c †Wade b Hardie 39 (29b 5x4 2x6 34m) SR: 134.48See all photos","Hardie to Suryakumar Yadav, out Caught by Wade!! Edged and caught! A big wicket and Hardie has broken through - shortened the length on this slower ball and hit the deck hard, Suryakumar swivelled across and then swung, but he swung early, was through with the shot and the ball caught a big edge on its way to the keeper. Wade throws the ball in delight and India have lost their captain. Suryakumar Yadav c Wade b Hardie 39(29) [4s-5 6s-2]"
10.1,1,"Hardie to Gaikwad,  1 runcut to the deep for a single","Hardie to Gaikwad, 1 run, fuller length delivery and well wide of off, drilled to deep cover for a single"
9.6,•,"Ellis to Suryakumar, no runfull ball wide outside off. Reaches out, mistimes a shot. Gaikwad turns down a prospective single. Drinks with India 80/2","Nathan Ellis to Suryakumar Yadav, no run, fuller length delivery and well wide of off, Suryakumar reaches out and gets an inside edge on the drive, the ball drops to the off-side and he wanted a single, but his partner ain't interested"
9.5,1,"Ellis to Gaikwad,  1 runback of length delivery around off. Tucked to the leg side for a single","Nathan Ellis to Gaikwad, 1 run, short of a length and at the stumps, nudged through mid-wicket for a single"
9.4,•,"Ellis to Gaikwad, no runshort ball just outside off. He's too quick into the pull with Ellis bowling a slower ball (117kph). Bottom-edged onto the deck","Nathan Ellis to Gaikwad, no run, another slower short ball outside off - Gaikwad was early into the pull and drags an inside edge onto his pad"
9.3,1,"Ellis to Suryakumar,  1 runfullish ball outside off. Bottom-edges a cut to short third and they scurry across for one. Direct-hit, but they're safe","Nathan Ellis to Suryakumar Yadav, 1 run, slower short ball outside off, Suryakumar chops an under-edge to short third man and they're off for a quick single"
9.2,4,"Ellis to Suryakumar, FOUR runsfull ball on middle and leg. Brilliant straight drive past Gaikwad, and mid-on's slide across the grass is in vain too!","Nathan Ellis to Suryakumar Yadav, FOUR, creamed, full and at the stumps, Suryakumar leans forward, presents the full face of the bat and then caresses the drive between the non-striker and the umpire, beating mid-on's dive to his left"
9.1,•,"Ellis to Suryakumar, no rungood length ball just outside off. Tries the cut. Misses","Nathan Ellis to Suryakumar Yadav, no run, on a good length and angling across the right-hander, Suryakumar has a poke at that and missed"
8.6,2,"T Sangha to Gaikwad,  2 runsmuscles this fullish ball to wide long on. Fifty stand!","Sangha to Gaikwad, 2 runs, Sangha dragged the length back on off, pulled away to the right of long-on and the two batters scamper back for the second"
8.5,4,"T Sangha to Gaikwad, FOUR runsfull ball outside off. Bit of turn away. Skips down the ground and caresses a four through the covers. Exquisite shot","Sangha to Gaikwad, FOUR, cracking shot, Gaikwad comes down the pitch, makes room and then plays a sublime drive, finds the gap past cover anbd the fast outfield does the rest"
8.4,•,"T Sangha to Gaikwad, no rungood length ball outside off. Cut to point","Sangha to Gaikwad, no run, flatter and just outside off, punched off the back-foot to backward point"
8.3,1,"T Sangha to Suryakumar,  1 rungood length ball outside off. Cut to the deep","Sangha to Suryakumar Yadav, 1 run, short and spinning away from wide of off, cut square past cover-point for a single"
8.2,•,"T Sangha to Suryakumar, no runfull ball on middle and leg. Tucked with the turn to the off side","Sangha to Suryakumar Yadav, no run, Sangha drags the length back on off, pushed off the back-foot to cover"
8.1,1,"T Sangha to Gaikwad,  1 rundriven down the ground and Maxwell slides around at long on to stop the four","Sangha to Gaikwad, 1 run, tossed up on middle and leg, driven down towards long-on for a single"
7.6,1,"Hardie to Gaikwad,  1 runfullish ball, fifth-stump line. Punched to mid off for a single","Hardie to Gaikwad, 1 run, fuller length delivery outside off, driven straight to the fielder at mid-off for a quick single"
7.5,1,"Hardie to Suryakumar,  1 runfull and wide. Slices a loft over the off side. Well short of Maxwell at deep point","Hardie to Suryakumar Yadav, 1 run, short of a good length and well wide of off, Suryakumar slices the drive over cover-point, on the bounce to the fielder in the deep"
7.4,4,"Hardie to Suryakumar, FOUR runsplaced between fine leg and deep square leg! Suryakumar picks this length ball off his hip and gently guides it with the swinging bat behind square.","Hardie to Suryakumar Yadav, FOUR, back-to-back boundaries now, short and at the stumps - Suryakumar swivels across and then pulls it over square leg, two men in the deep and he bisected them to perfection"
7.3,4,"Hardie to Suryakumar, FOUR runslength ball outside off. Plays a dangerous square drive, but gets it past point who was the only catching fielder for that shot!","Hardie to Suryakumar Yadav, FOUR, typical Suryakumar shot, width on offer and he then flays the drive wide of point - the feet hardly moved, but he did open the face of the bat and found the gap square past point"
7.2,1,"Hardie to Gaikwad,  1 rungood length ball bit wide outside off. Pulled to wide long on. For those unfamiliar with Hardie, he loads up like Moises Henriques with the ball, but faster","Hardie to Gaikwad, 1 run, back of a length and just outside off, muscled down to long-on for a single"
7.1,1,"Hardie to Suryakumar,  1 runa single off the first ball","Hardie to Suryakumar Yadav, 1 run, fuller length delivery and well wide of off, Suryakumar reached out on the drive and gets an under-edge that rolls past the keeper"
