ball,score,commentary,second_commentary
8.1,W,"Dwarshuis to Suryakumar, OUTedged and taken by Wade! Full and darted across off stump from left-arm over. Some away movement from Dwarshuis. SKY has a loose push and snicks it behind to WadeSuryakumar Yadav c †Wade b Dwarshuis 1 (2b 0x4 0x6 2m) SR: 50See all photos","Dwarshuis to Suryakumar Yadav, out Caught by Wade!! A loose drive and India have lost their captain now, the Raipur crowd has been stunned into silence, was a good length delivery that was angled across the right-hander - Suryakumar was playing for the straighter line, but he's undone by the angle, gets an audible edge and Wade does the rest. Two big guns back in the hut and India find themselves in some trouble. Suryakumar Yadav c Wade b Dwarshuis 1(2)"
7.6,1,"T Sangha to Suryakumar,  1 runtossed up and breaks away outside off, SKY slices it away to the off-side sweeper","Sangha to Suryakumar Yadav, 1 run, flighted delivery outside off, Suryakumar leans forward, opens the face of the bat and finds the gap wide of cover with the drive, off the mark with a single"
7.5,W,"T Sangha to Shreyas Iyer, OUTHoles out to Green at long-on! Sangha tosses it up liberally on off stump, Iyer usually backs himself to hit out against spin. He aims to clear long-on, but does not find enough power or elevation this time. Green, the debutant, snags the catchShreyas Iyer c Green b Sangha 8 (7b 0x4 0x6 6m) SR: 114.28See all photos","Sangha to Shreyas Iyer, out Caught by Chris Green!! A mistimed hoick and Shreyas has holed out to long-on - was nicely tossed up and Shreyas was shaping for the big hit over long-on, but the ball held up onto the surface and the Indian number three ended up dragging it off the lower half of the bat - Green runs across to his right at long-on and holds onto a simple catch. Shreyas Iyer c Chris Green b Sangha 8(7)"
7.4,2,"T Sangha to Shreyas Iyer,  2 runsshovelled down to wide long-on off the back foot","Sangha to Shreyas Iyer, 2 runs, tossed up on off, worked off the back-foot, into the pocket wide of long-on and Shreyas saunters back for the second"
7.3,2,"T Sangha to Shreyas Iyer,  2 runson the hips, picked away between deep midwicket and deep square","Sangha to Shreyas Iyer, 2 runs, flatter and at the pads, whipped past square leg and Shreyas is back for another brace"
7.2,2,"T Sangha to Shreyas Iyer,  2 runswristed away to the right of mid-on","Sangha to Shreyas Iyer, 2 runs, the leg-break from Sangha, but the length is short and it lets Shreyas adjust his shot, dabs it with soft hands towards mid-on and scampers back for the second"
7.1,1,"T Sangha to Gaikwad,  1 runchopped to point","Sangha to Gaikwad, 1 run, flighted delivery outside off, Gaikwad went hard on the drive and mistimed it wide of cover-point for a single"
6.6,1,"Green to Gaikwad,  1 runon a length and on middle, 98.7ks, Green keeps darting the ball into the pitch, jabbed down to long-on","Chris Green to Gaikwad, 1 run, tossed up on off, worked down towards long-on for a single"
6.5,1,"Green to Shreyas Iyer,  1 runfull and breaking into middle and leg at 99.3ks, worked away through the vacant midwicket region once again","Chris Green to Shreyas Iyer, 1 run, Green drifts one on middle and leg, turned past square leg for a single"
6.4,1,"Green to Gaikwad,  1 runGaikwad shuffles across and nurdles a single into the leg side","Chris Green to Gaikwad, 1 run, flighted on off, Gaikwad prods across and pushes it wide of mid-wicket for a single"
6.3,1,"Green to Shreyas Iyer,  1 runpushed through flat and fast on middle and leg, bunted down to long-on","Chris Green to Shreyas Iyer, 1 run, Green tosses one on middle and leg, Shreyas gets going with a neat little tuck down to long-on"
6.2,•,"Green to Shreyas Iyer, no runback of a length and slides on outside off at 97.6ks, stabbed back to Green","Chris Green to Shreyas Iyer, no run, flighted delivery outside off, pushed back at the bowler"
6.1,1,"Green to Gaikwad,  1 runclipped away through the vacant spaces at midwicket for a single","Chris Green to Gaikwad, 1 run, tossed up on off, worked wide of mid-wicket for a single"
